New MKL-SRF Direct and near,New MKL-SRF Direct,New MKL-SRF Stringent ,New MKL-SRF Stringent and Direct,MKL_SRF_experiment 
Tle4,Tle4,Tle4,Tle4,
Tln1,Tln1,Tln1,Tln1,
Tm4sf1,Tm4sf1,Tm4sf1,Tm4sf1,
Tmem123,Tmem123,Tmem123,Tmem123,
Tmem47,Tmem47,Tmem47,Tmem47,
Tmtc3,Tmtc3,Tmtc3,Tmtc3,
Tns3,Tns3,Tns3,Tns3,
Tpm1,Tpm1,Tpm1,Tpm1,
Tpm2,Tpm2,Tpm2,Tpm2,
Tpm4,Tpm4,Tpm4,Tpm4,
Tpst2,Tpst2,Tpst2,Tpst2,
Traf3ip2,Traf3ip2,Traf3ip2,Traf3ip2,
Traf5,Traf5,Traf5,Traf5,
Trap1,Trap1,Trap1,Trap1,
Trim16,Trim16,Trim16,Trim16,
Trio,Trio,Trio,Trio,
Ttc28,Ttc28,Ttc28,Ttc28,
Ttll11,Ttll11,Ttll11,Ttll11,
Tuba1c,Tuba1c,Tuba1c,Tuba1c,
Ubc,Ubc,Ubc,Ubc,
Ugp2,Ugp2,Ugp2,Ugp2,
Uhrf1bp1l,Uhrf1bp1l,Uhrf1bp1l,Uhrf1bp1l,
Usp24,Usp24,Usp24,Usp24,
Usp37,Usp37,Usp37,Usp37,
Utrn,Utrn,Utrn,Utrn,
Vasp,Vasp,Vasp,Vasp,
Vav3,Vav3,Vav3,Vav3,
Vcl,Vcl,Vcl,Vcl,
Vgll3,Vgll3,Vgll3,Vgll3,
Wdfy1,Wdfy1,Wdfy1,Wdfy1,
Wdr1,Wdr1,Wdr1,Wdr1,
Wee1,Wee1,Wee1,Wee1,
Wrb,Wrb,Wrb,Wrb,
Wwtr1,Wwtr1,Wwtr1,Wwtr1,
Yaf2,Yaf2,Yaf2,Yaf2,
Ywhag,Ywhag,Ywhag,Ywhag,
Zbtb20,Zbtb20,Zbtb20,Zbtb20,
Zc3h12a,Zc3h12a,Zc3h12a,Zc3h12a,
Zfp326,Zfp326,Zfp326,Zfp326,
Zfp36,Zfp36,Zfp36,Zfp36,
Zfp521,Zfp521,Zfp521,Zfp521,
Zfp568,Zfp568,Zfp568,Zfp568,
Zfp644,Zfp644,Zfp644,Zfp644,
Zmat1,Zmat1,Zmat1,Zmat1,
Zswim4,Zswim4,Zswim4,Zswim4,
Zswim6,Zswim6,Zswim6,Zswim6,
Zyx,Zyx,Zyx,Zyx,
1810055G02Rik,1810055G02Rik,9-Mar,,
Acly,Acly,1110007L15Rik,,
Actr2,Actr2,1300014I06Rik,,
Ahnak,Ahnak,2410089E03Rik,,
Aimp1,Aimp1,6430527G18Rik,,
Ankrd28,Ankrd28,9530068E07Rik,,
Armc9,Armc9,A330021E22Rik,,
Bet1l,Bet1l,Abce1,,
Bysl,Bysl,Acsl4,,
Ccnt2,Ccnt2,Actr10,,
Cdc11b,Cdc11b,Adora2b,,
Cdc73,Cdc73,Aftph,,
Cdk14,Cdk14,Akr1e1,,
Chmp5,Chmp5,Anxa1,,
Clic4,Clic4,Arhgap29,,
Cmpk1,Cmpk1,Arih1,,
Cmtm6,Cmtm6,Arl10,,
Cyb5r3,Cyb5r3,Arl4d,,
Ddx42,Ddx42,Arl6ip5,,
Dnajb1,Dnajb1,Bach1,,
Egr1,Egr1,Bach2,,
Egr2,Egr2,BC031353,,
Eif3h,Eif3h,Bri3bp,,
Ext1,Ext1,Brwd1,,
Fam36a,Fam36a,Btg2,,
Fam53c,Fam53c,Camkk2,,
Fos,Fos,Capn2,,
Gigyf2,Gigyf2,Car9,,
Golph3,Golph3,Cav1,,
Gria1,Gria1,Cbl,,
Gstp2,Gstp2,Cbx4,,
Guf1,Guf1,Cbx6-Nptxr,,
H2afj,H2afj,Ccnl2,,
Hdlbp,Hdlbp,Cdc42ep3,,
Hibadh,Hibadh,Cdc7,,
Hk1,Hk1,Cdk17,,
Homer1,Homer1,Cfl2,,
Ier2,Ier2,Chchd2,,
Ifngr1,Ifngr1,Cltb,,
Ifrd1,Ifrd1,Cltc,,
Iqgap1,Iqgap1,Cnn3,,
Jmjd6,Jmjd6,Cnot3,,
Kdm4c,Kdm4c,Col5a1,,
